name,id,price,type,date
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-08 14:43:45.084000
Cozy trà đào sả,N0011,12000,CASH_AT_MACHINE,2023-06-08 12:38:11.514000
Trà xanh 0 độ,N00034,15000,CASH_AT_MACHINE,2023-06-08 12:37:06.682000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-08 12:24:55.587000
Milo 180ml sữa hộp,N018,10000,MOMO,2023-06-08 12:24:27.852000
ICE Đào,N029,12000,VNPAY,2023-06-08 11:59:52.154000
C2 dâu 455ml,N00049,15000,VNPAY,2023-06-08 11:59:07.464000
Snack Bắp vị phô mai,B031,6000,MOMO,2023-06-08 11:32:39.559000
Snack Cà Chua,B027,6000,MOMO,2023-06-08 11:32:02.790000
ICE Đào,N029,12000,CASH_AT_MACHINE,2023-06-08 11:15:04.772000
Nước gạo rang TH,N00035,15000,VNPAY,2023-06-08 11:06:27.397000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,VNPAY,2023-06-08 10:51:57.150000
Nước thạch Gumi vị nho,N039,15000,VNPAY,2023-06-08 10:51:30.823000
Trà xanh 0 độ,N00034,15000,CASH_AT_MACHINE,2023-06-08 09:12:18.594000
Nước suối Aquafina 500ml,N002,10000,MOMO,2023-06-08 08:48:12.985000
Nước gạo rang TH,N00035,15000,MOMO,2023-06-08 07:58:03.394000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,MOMO,2023-06-08 07:45:06.190000
Sữa đậu nành vị đậu đỏ,SD0016,7000,VNPAY,2023-06-08 06:37:11.985000
Nước thạch Gumi vị nho,N039,15000,CASH_AT_MACHINE,2023-06-07 21:20:05.541000
Milo 180ml sữa hộp,N018,10000,CASH_AT_MACHINE,2023-06-07 20:24:34.551000
Trà xanh 0 độ,N00034,15000,CASH_AT_MACHINE,2023-06-07 19:06:04.220000
Wake up 247,N00038,15000,CASH_AT_MACHINE,2023-06-07 19:05:05.183000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,MOMO,2023-06-07 18:16:21.923000
Snack Phomai ,B0076,6000,MOMO,2023-06-07 17:59:27.157000
Wake up 247,N00038,15000,VNPAY,2023-06-07 17:25:10.241000
Wake up 247,N00038,15000,VNPAY,2023-06-07 14:48:27.797000
TH trà xanh,N00033,12000,VNPAY,2023-06-07 12:45:55.537000
Nescafe Cafe sữa đá 200ml,N027,15000,MOMO,2023-06-07 10:52:17.190000
Sữa đậu nành Fami nguyên chất 200ml,SD0011,6000,VNPAY,2023-06-07 10:09:08.541000
Sữa đậu nành vị đậu đỏ,SD0016,7000,CASH_AT_MACHINE,2023-06-07 08:59:26.541000
Nutri Boost dâu sữa yến mạch 297ml,N021,15000,MOMO,2023-06-07 07:57:11.703000
Nescafe Cafe sữa đá 200ml,N027,15000,CASH_AT_MACHINE,2023-06-06 12:01:17.214000
